iter	Passed	Remaining
402	11923	17663
403	11954	17635
404	11983	17605
405	12011	17573
406	12041	17544
407	12077	17524
408	12103	17490
409	12131	17458
410	12162	17430
411	12190	17398
412	12220	17368
413	12249	17338
414	12277	17306
415	12306	17276
416	12334	17245
417	12363	17214
418	12395	17187
419	12421	17154
420	12454	17128
421	12492	17110
422	12521	17079
423	12551	17050
424	12577	17016
425	12609	16990
426	12639	16960
427	12668	16930
428	12698	16901
429	12724	16867
430	12752	16836
431	12782	16806
432	12812	16777
433	12839	16744
434	12868	16714
435	12897	16683
436	12927	16654
437	12955	16622
438	12984	16593
439	13013	16562
440	13042	16532
441	13077	16509
442	13104	16476
443	13131	16443
444	13162	16415
445	13193	16388
446	13220	16355
447	13249	16325
448	13280	16297
449	13308	16266
450	13337	16235
451	13365	16204
452	13396	16176
453	13425	16146
454	13456	16117
455	13508	16115
456	13539	16087
457	13566	16054
458	13594	16022
459	13621	15990
460	13652	15962
461	13680	15931
462	13709	15900
463	13737	15869
464	13764	15836
465	13796	15809
466	13825	15779
467	13852	15747
468	13881	15716
469	13892	15665
470	13919	15633
471	13950	15605
472	13980	15576
473	14007	15543
474	14036	15514
475	14073	15493
476	14105	15465
477	14132	15433
478	14160	15401
479	14187	15369
480	14202	15324
481	14229	15292
482	14260	15264
483	14289	15234
484	14316	15202
485	14345	15171
486	14377	15145
487	14404	15113
488	14435	15085
489	14466	15056
490	14499	15031
491	14528	15000
492	14557	14971
493	14587	14942
494	14593	14888
495	14622	14858
496	14651	14828
497	14681	14799
498	14710	14769
499	14737	14737
500	14765	14706
501	14795	14677
502	14823	14647
503	14850	14615
504	14882	14587
505	14910	14556
506	14937	14525
507	14967	14495
508	14997	14467
509	15025	14436
510	15054	14406
511	15085	14378
512	15095	14330
513	15122	14298
514	15150	14267
515	15182	14240
516	15211	14211
517	15241	14182
518	15269	14151
519	15298	14122
520	15309	14074
521	15340	14047
522	15366	14015
523	15393	13983
524	15410	13942
525	15440	13913
526	15469	13884
527	15502	13858
528	15537	13833
529	15563	13801
530	15593	13773
531	15621	13742
532	15638	13701
533	15667	13672
534	15696	13643
535	15723	13611
536	15753	13582
537	15783	13553
538	15810	13522
539	15839	13493
540	15869	13463
541	15897	13433
542	15925	13403
543	15956	13375
544	15983	13343
545	16012	13314
546	16023	13270
547	16051	13239
548	16078	13208
549	16111	13181
550	16139	13151
551	16168	13121
552	16199	13094
553	16227	13063
554	16256	13034
555	16285	13004
556	16315	12976
557	16343	12946
558	16370	12915
559	16402	12887
560	16432	12858
561	16459	12827
562	16487	12797
563	16495	12751
564	16512	12712
565	16518	12666
566	16548	12637
567	16575	12606
568	16603	12576
569	16636	12550
570	16666	12522
571	16696	12493
572	16724	12463
573	16751	12432
574	16779	12402
575	16807	12372
576	16836	12342
577	16864	12313
578	16894	12284
579	16922	12254
580	16951	12224
581	16979	12194
582	17008	12165
583	17038	12137
584	17067	12107
585	17097	12078
586	17135	12056
587	17162	12025
588	17191	11995
589	17220	11966
590	17248	11937
591	17277	11907
592	17306	11878
593	17334	11848
594	17364	11819
595	17394	11790
596	17421	11760
597	17453	11732
598	17482	11703
599	17510	11673
600	17542	11646
601	17574	11619
602	17606	11591
603	17637	11563
604	17667	11534
605	17696	11505
606	17725	11476
607	17756	11448
608	17782	11416
609	17809	11386
610	17839	11357
611	17869	11329
612	17899	11300
613	17927	11270
614	17956	11240
615	17984	11211
616	18012	11181
617	18042	11152
618	18072	11123
619	18101	11094
620	18132	11066
621	18162	11037
622	18192	11009
623	18220	10979
624	18248	10948
625	18264	10912
626	18294	10883
627	18320	10852
628	18351	10824
629	18381	10795
630	18409	10765
631	18438	10736
632	18468	10707
633	18497	10678
634	18528	10650
635	18563	10624
636	18593	10595
637	18623	10567
638	18652	10537
639	18682	10508
640	18710	10478
641	18738	10449
